word	primary_house	houses	ambiguous	sources
'hood	3	3	no	neighborhood(H3)
abandoned infant	5	5	no	baby(H5)
abbey	9	9,12	yes	church(H9); monastery(H12)
abelian group	11	11	no	group(H11)
abidance	4	4	no	residence(H4)
abode	4	4	no	home(H4); dwelling(H4); residence(H4)
abolitionism	9	9	no	philosophy(H9)
abroad	12	12	no	abroad(H12)
abrogator	10	10	no	authority(H10)
absolution	10	10,12	yes	status(H10); salvation(H12)
absolutism	9	9	no	philosophy(H9)
absorb	5	5	no	learning(H5)
abstruseness	9	9	no	wisdom(H9)
abstrusity	9	9	no	wisdom(H9)
academic degree	10	10	no	honor(H10)
academy award	10	10	no	honor(H10)
acceptance	9	9	no	blessing(H9)
acceptation	9	9	no	blessing(H9)
accident	8	8	no	accident(H8)
accidental injury	6	6,8	yes	injury(H6); accident(H8)
accolade	10	10	no	honor(H10)
accomplished fact	10	10	no	achievement(H10)
accomplishment	3	3,10	yes	skill(H3); achievement(H10)
accord	7	7	no	agreement(H7); treaty(H7)
account	11	11	no	gain(H11); profit(H11)
accountancy	6	6,10	yes	job(H6); occupation(H10)
accounting	6	6,10	yes	job(H6); occupation(H10)
accounting firm	4	4	no	house(H4)
accretion	8	8,11	yes	inheritance(H8); gain(H11)
acculturation	5	5	no	education(H5)
accumulation	2	2,11	yes	earnings(H2); profit(H11); group(H11)
ache	6	6	no	pain(H6)
acheta assimilis	5	5	no	cricket(H5)
acheta domestica	5	5	no	cricket(H5)
achievement	10	10	no	achievement(H10)
aching	6	6	no	pain(H6)
achromasia	1	1	no	complexion(H1)
acquaintance	11	11	no	friend(H11)
acquire	5	5	no	learning(H5)
acquirement	3	3	no	skill(H3)
acquisition	3	3,5	yes	skill(H3); learning(H5)
acquisition agreement	7	7	no	contract(H7)
acres	4	4	no	estate(H4); real estate(H4)
act	6	6	no	routine(H6)
actinide	11	11	no	group(H11)
actinism	4	4	no	property(H4)
actinoid	11	11	no	group(H11)
actinon	11	11	no	group(H11)
action	6	6	no	work(H6)
actual possession	2	2	no	possession(H2)
acuity	5	5	no	intelligence(H5)
acuteness	5	5	no	intelligence(H5)
acyl	11	11	no	group(H11)
acyl group	11	11	no	group(H11)
ad	10	10	no	promotion(H10)
